case,damping,tau1,tau2,step,q1,q2,dq1,dq2,energy
torque_step,0.1,8.0,-3.0,0,-1.2,2.4,0.5,4.0,2.7120987366827656
torque_step,0.1,8.0,-3.0,20,0.083365564173834,-2.7402266280563836,4.981902048124896,2.5395190986734595,8.72831328369368
torque_step,0.1,8.0,-3.0,40,1.4427256556470276,-0.8888763602705176,0.8847422887534682,6.826315509569625,12.581910254061444
torque_step,0.1,8.0,-3.0,60,2.743239392432086,-1.0036990902837601,5.383633718127151,-3.880668450944369,21.872122486025127
torque_step,0.1,8.0,-3.0,80,-1.9049424659962204,0.08904744908798934,3.6204463365368644,3.5185873220595,30.104762258601617
torque_step,0.1,8.0,-3.0,100,0.4561528295746342,-0.34759980176219996,3.9016126236022584,6.669273833562107,48.16075495355042
torque_step,0.1,8.0,-3.0,120,3.0227592806382297,-0.21028781604312474,5.183824507171778,5.792466308312026,65.81738097430917
torque_step,0.1,8.0,-3.0,140,-0.3232279265210276,0.0582264627047433,7.790003225319305,0.7432471222959521,85.77285810839354
torque_step,0.1,8.0,-3.0,160,-3.071713291882876,-0.23838609634995178,9.914890909895954,-2.36074589185119,111.43776844338495
torque_step,0.1,8.0,-3.0,180,0.7160078395531784,0.00814566833812691,9.930519272232637,0.6787248222921791,137.17872257077167
torque_step,0.1,8.0,-3.0,200,-1.2595658028080683,-0.09350346660941167,10.468866555320359,2.339699465034776,167.16071654649707
torque_from_rest,0.1,-2.5,8.0,0,0.0,0.0,0.0,0.0,0.0
torque_from_rest,0.1,-2.5,8.0,20,-0.46283044982579646,-2.627637809217392,0.5011913717397432,12.0,23.48607679305188
torque_from_rest,0.1,-2.5,8.0,40,-2.960385872691267,1.199266295665181,-6.843763574942333,-2.1964688073572343,56.07624606707036
torque_from_rest,0.1,-2.5,8.0,60,0.8801206320959327,0.9832635999190256,-7.873255711319103,2.7991864823565957,56.68863855498223
torque_from_rest,0.1,-2.5,8.0,80,-1.6482942452315235,0.7165961704938915,-8.242084021185725,4.8244975468598295,57.854609790526894
torque_from_rest,0.1,-2.5,8.0,100,1.9927889970953263,0.5803804727800843,-8.294892697773955,4.659011589884054,60.68383044483581
torque_from_rest,0.1,-2.5,8.0,120,-0.7604591562319087,0.5542615552939623,-8.135108664079366,3.2837289097660944,64.82161539219054
torque_from_rest,0.1,-2.5,8.0,140,2.6755072765507304,0.549545394502541,-7.752146108384424,1.093337526881367,69.46361431717841
torque_from_rest,0.1,-2.5,8.0,160,-0.24018613960417845,0.4703191280369854,-7.130236485165281,-1.5005522440919281,73.73751423210231
torque_from_rest,0.1,-2.5,8.0,180,3.0733322979579754,0.28569499903887463,-6.857177700700971,-2.587686698417868,77.28479735689842
torque_from_rest,0.1,-2.5,8.0,200,-0.006990700845911135,0.17530240019550947,-7.868523860370442,0.07066564057594854,81.61883901623247
