use_obstacle,seed,target_x,target_y,obstacle_x,obstacle_y,q1,q2,success_t2,collision_t2,success_t4,collision_t4,success_t6,collision_t6,success_t8,collision_t8,success_t12,collision_t12
1,10060,-0.17965243187425875,1.0477125198424933,0.9824416857179373,-0.3998153299965356,-0.8117877933665882,-1.724751050889205,0,0,1,0,1,0,1,0,1,0
1,10061,0.2651807145510994,1.2505331015155963,0.7438205690672515,0.3028629191498233,-1.3637963690814177,-0.08299821504531402,0,1,0,1,0,1,0,1,0,1
1,10062,-1.5751027246271014,0.5749650595556726,-0.5433766236675028,0.765596831706408,1.2485850360741226,0.6030707783699146,0,1,0,1,0,1,0,1,0,1
1,10063,1.329624760055331,-0.8072250890925713,-0.11509584559805565,-0.6597159231126195,1.5748902699466047,-1.5989418424772368,0,0,1,0,1,0,1,0,1,0
1,10064,0.7840005862134684,0.20435853764158035,-0.939142353133908,0.18017386192033802,-0.5200011429218276,-1.2913205870147715,1,0,1,0,1,0,1,0,1,0
1,10065,1.1151730201198744,-0.04084169195908598,-0.2676879710271727,-0.619777558472866,-3.0086818809610767,0.7341889097813237,0,1,0,1,0,1,0,1,0,1
1,10066,-0.06338115336573404,1.5584274617603828,0.04933838321018356,-0.8869161051714091,1.00358641747657,0.29877142476232743,1,0,1,0,1,0,1,0,1,0
1,10067,1.0594934274745733,-0.10591973341144413,0.7129886887907987,0.6741602785253347,0.04041971203345637,0.37327876480180433,1,0,1,0,1,0,1,0,1,0
1,10068,0.3241611400939336,0.5151495687516942,-0.4356996770885843,0.74299544782027,1.0722799797845262,-1.8764829058158798,0,1,0,1,0,1,0,1,0,1
1,10069,0.46297244702448304,-0.6817604096668051,-0.8584967644350088,0.24191499042717127,-2.56468385105142,2.434504050729589,1,0,1,0,1,0,1,0,1,0
1,10070,0.6516228916356828,0.1459283795926129,-0.872738646747137,-0.8162151640055593,-1.8090297271950277,0.3221996207430422,1,0,1,0,1,0,1,0,1,0
1,10071,-0.15612893173795547,-1.2165800823895074,0.9533074340748642,-0.3279605923306234,2.3287040798670615,1.860458132147627,1,0,1,0,1,0,1,0,1,0
1,10072,-0.8902518450698754,-0.012277837104436987,0.2819863900069858,-1.0295183828248082,1.1393830621751095,2.2214214355061523,1,0,1,0,1,0,1,0,1,0
1,10073,0.5492536821978429,0.4702123954608736,-0.5815163987518407,0.535449052616903,2.7281715499595376,-0.8402352231250454,0,1,0,1,0,1,0,1,0,1
1,10074,-1.4453917657294788,1.1252494199786331,-0.21255723096544998,1.076283792681499,-1.2934640075878543,-0.7761673323889084,0,1,0,1,0,0,0,0,1,0
1,10075,1.0074231786787056,1.297281348224281,0.36172378784642345,-1.0641943656991497,1.942454192201713,0.484352541241439,0,0,1,0,1,0,1,0,1,0
1,10076,1.4881868263892795,0.2956458073761335,0.5123101816744808,0.801815396195432,-2.7473768958058553,1.0559490875980533,0,1,0,0,0,0,1,0,1,0
1,10077,1.1040039859329782,-1.231599947668397,0.5779838901528099,-0.29291732313024765,-2.67599164878762,-0.5926201066406445,0,1,0,1,1,0,1,0,1,0
1,10078,-0.2742251244779658,0.9903447073005076,0.8393176940385587,0.6214026483163836,1.8302256145234541,-2.4996619280223245,1,0,1,0,1,0,1,0,1,0
1,10079,0.31169571117883266,-0.7293909873470906,-0.2682312529087377,-0.9834878309189155,-0.24186624957253375,-1.3087672554237058,1,0,1,0,1,0,1,0,1,0
1,10080,1.280310974726267,-0.733766434209834,-0.07858005761645011,-0.812953516979605,2.3823778508275275,-0.0238711620576032,0,0,0,0,0,0,1,0,1,0
1,10081,-1.417535230103985,-0.29036627584277125,-0.622986563401293,0.8950656422231605,-2.1066742588360934,0.6987655729874714,1,0,1,0,1,0,1,0,1,0
1,10082,0.9889873555461399,0.01446746316328278,0.8227908950349416,0.43414492033618474,-2.3575062289524173,1.8137872002593696,0,1,1,0,1,0,1,0,1,0
1,10083,-0.5358839893722847,0.4434415227442287,0.8084547653376178,-0.5691185855483677,-2.7240498739116363,1.4358814542205023,1,0,1,0,1,0,1,0,1,0
1,10084,-1.7263570699085156,-0.4385158657607271,-1.1018880408938931,-0.26577151045391095,1.9612870674187564,0.5371771328541625,0,1,0,1,0,1,0,1,0,1
1,10085,0.532654730897174,-0.8835041301621759,0.9543407154909926,-0.25461779391959416,0.32699113488521664,1.8593932102101123,0,1,0,1,0,1,0,1,0,1
1,10086,0.2152672227236057,-0.7903500366690777,0.9486510387693093,0.13499594750967325,0.8191857819895321,1.171595377384077,0,1,0,1,0,1,0,1,0,1
1,10087,-0.09228639526466505,0.42349884372016605,-0.2365218104940159,-0.7677498219295902,-2.866471472948764,-0.10805298251237272,1,0,1,0,1,0,1,0,1,0
1,10088,-0.8659268574220569,-1.440178037741282,0.6158540436898757,0.57169385898092,0.3343183411561656,-1.5005993966326303,0,0,0,0,1,0,1,0,1,0
1,10089,0.20508589925334242,-0.7478033973811583,0.5052889016011601,1.0013418377563366,2.215075014135349,1.1883051701636804,1,0,1,0,1,0,1,0,1,0
1,10090,0.3248174166682187,-1.3934437457448496,0.029305237998414016,-0.6085682752999918,-0.6831680810859792,-0.43606945891669857,1,0,1,0,1,0,1,0,1,0
1,10091,-0.7202963954933703,1.304245269085306,0.22147127562159102,-0.6178036981269949,1.7374684284324975,-1.8287729117430507,0,0,1,0,1,0,1,0,1,0
1,10092,-1.3639851546928647,-0.60874046416523,-1.1177228983659548,-0.26483257413814976,1.6840947415898522,-1.0562229225278885,0,1,0,1,0,1,0,1,0,1
1,10093,-0.501811001571895,-1.010809593055959,-0.6443389620440755,0.727989183776252,-1.4268774820325985,-1.4452321340088192,1,0,1,0,1,0,1,0,1,0
1,10094,0.2119928422744508,0.8333847388027157,-0.4744812554322871,-0.5621556796170945,2.9814422909846745,0.5632120832274745,1,0,1,0,1,0,1,0,1,0
1,10095,0.5988650278695209,-1.224499177042508,0.47669366330184365,0.8158641307088746,2.0670030819787453,0.011253930669534173,0,0,0,0,0,0,1,0,1,0
1,10096,0.33031343603239843,0.6449662382325223,0.5819511532473153,-0.2061717796694711,2.809356159435046,-1.4467509200043667,1,0,1,0,1,0,1,0,1,0
